user_id,checkout_page,order_value,purchased,gender,browser,time_on_page
877621,A,29.410,1.0,F,chrome,66.169
876599,A,NaN,0.0,M,firefox,49.802
905407,A,27.447,1.0,M,chrome,56.745
883562,A,30.602,1.0,M,safari,71.891
840542,A,29.669,1.0,F,safari,67.411
861142,A,22.557,1.0,F,safari,33.273
852680,A,27.375,1.0,F,safari,56.401
867863,A,NaN,0.0,M,safari,43.184
873787,A,24.742,1.0,M,safari,43.761
890765,A,26.026,1.0,M,safari,49.927
849850,A,25.360,1.0,F,firefox,46.729
895814,A,NaN,0.0,M,firefox,62.451
913677,A,NaN,0.0,M,chrome,54.132
874586,A,25.304,1.0,F,firefox,46.460
908947,A,26.110,1.0,F,safari,50.326
913089,A,25.834,1.0,F,safari,49.004
859614,A,28.735,1.0,F,chrome,62.929
835521,A,24.487,1.0,M,chrome,42.538
844910,A,25.783,1.0,F,firefox,48.757
875422,A,22.865,1.0,F,safari,34.751
834734,A,18.618,1.0,M,safari,14.364
893632,A,26.634,1.0,F,chrome,52.843
881551,A,27.161,1.0,F,chrome,55.373
867918,A,23.145,1.0,F,chrome,36.094
887062,A,30.674,1.0,F,firefox,72.237
849203,A,21.364,1.0,M,firefox,27.548
881161,A,25.114,1.0,F,firefox,45.549
857346,A,24.532,1.0,M,firefox,42.754
859021,A,28.832,1.0,M,chrome,63.393
845277,A,28.673,1.0,F,chrome,62.632
912261,A,25.387,1.0,M,safari,46.859
884255,A,25.945,1.0,F,firefox,49.538
853808,A,22.781,1.0,F,chrome,34.347
857126,A,NaN,0.0,M,safari,21.230
893180,A,NaN,0.0,M,chrome,40.825
854140,A,25.391,1.0,M,safari,46.876
843080,A,28.076,1.0,F,firefox,59.763
903017,A,28.006,1.0,F,firefox,59.429
858653,A,24.032,1.0,M,firefox,40.352
846771,A,24.244,1.0,F,firefox,41.372
874652,A,22.379,1.0,F,safari,32.417
843767,A,21.450,1.0,F,safari,27.960
839576,A,20.734,1.0,F,safari,24.525
846343,A,NaN,0.0,M,firefox,68.409
891579,A,23.726,1.0,F,safari,38.884
886907,A,23.905,1.0,M,firefox,39.743
870013,A,21.868,1.0,F,firefox,29.966
885559,A,26.944,1.0,M,safari,54.330
874499,A,20.965,1.0,M,chrome,25.633
910191,A,24.468,1.0,F,chrome,42.447
901351,A,NaN,0.0,M,chrome,34.254
849193,A,25.967,1.0,M,safari,49.643
912683,A,NaN,0.0,M,firefox,38.870
905004,A,NaN,0.0,M,safari,30.832
869086,A,24.930,1.0,M,firefox,44.662
889161,A,NaN,0.0,M,chrome,50.140
901299,A,25.166,1.0,F,safari,45.798
904464,A,25.756,1.0,F,chrome,48.630
880340,A,23.414,1.0,F,chrome,37.388
861777,A,24.093,1.0,F,safari,40.647
843940,A,23.319,1.0,F,firefox,36.930
848694,A,24.101,1.0,F,firefox,40.685
852178,A,NaN,0.0,M,firefox,35.242
875636,A,20.684,1.0,F,firefox,24.285
856037,A,25.444,1.0,F,chrome,47.129
903146,A,23.996,1.0,M,firefox,40.179
889579,A,20.925,1.0,F,safari,25.438
838038,A,26.157,1.0,M,firefox,50.553
898890,A,22.732,1.0,F,safari,34.112
899569,A,NaN,0.0,M,chrome,45.623
842974,A,26.823,1.0,M,chrome,53.749
850486,A,25.322,1.0,F,chrome,46.548
856974,A,27.849,1.0,F,chrome,58.673
863579,A,21.913,1.0,M,safari,30.182
871399,A,26.006,1.0,M,chrome,49.828
883501,A,23.288,1.0,M,chrome,36.782
894237,A,22.823,1.0,M,safari,34.550
875857,A,23.553,1.0,F,safari,38.054
862143,A,24.221,1.0,F,firefox,41.261
872029,A,25.140,1.0,F,safari,45.674
909800,A,NaN,0.0,M,chrome,31.018
888297,A,27.252,1.0,M,chrome,55.810
860768,A,26.164,1.0,F,safari,50.588
904023,A,21.159,1.0,F,firefox,26.565
841076,A,28.721,1.0,F,firefox,62.859
847543,A,29.740,1.0,F,firefox,67.751
898453,A,27.947,1.0,M,firefox,59.145
847077,A,24.550,1.0,M,chrome,42.841
869207,A,NaN,0.0,M,firefox,32.151
908968,A,27.636,1.0,F,firefox,57.653
899858,A,23.992,1.0,F,firefox,40.162
901776,A,28.056,1.0,M,chrome,59.669
872483,A,25.521,1.0,M,chrome,47.499
857654,A,27.442,1.0,M,safari,56.720
850399,A,25.891,1.0,M,chrome,49.276
875495,A,26.766,1.0,F,chrome,53.479
883481,A,25.026,1.0,M,safari,45.126
879457,A,29.465,1.0,F,chrome,66.430
837922,A,25.317,1.0,F,chrome,46.523
896218,A,26.005,1.0,F,safari,49.824
849331,A,29.708,1.0,F,safari,67.598
857141,A,21.631,1.0,M,firefox,28.827
875132,A,21.824,1.0,F,firefox,29.754
848392,A,27.423,1.0,M,firefox,56.633
850423,A,NaN,0.0,M,firefox,30.923
859651,A,29.859,1.0,F,chrome,68.323
895959,A,23.966,1.0,F,firefox,40.037
848806,A,23.131,1.0,M,safari,36.031
836298,A,29.807,1.0,F,safari,68.075
857960,A,28.701,1.0,F,chrome,62.766
872318,A,29.669,1.0,F,safari,67.411
858327,A,27.265,1.0,F,chrome,55.873
858839,A,NaN,0.0,M,chrome,34.665
876164,A,29.775,1.0,M,firefox,67.921
847173,A,24.330,1.0,M,chrome,41.784
861654,A,NaN,0.0,M,safari,54.629
835814,A,27.368,1.0,M,firefox,56.367
864643,A,24.612,1.0,F,firefox,43.140
901195,A,NaN,0.0,M,firefox,52.369
842632,A,27.306,1.0,M,chrome,56.066
857098,A,25.941,1.0,M,safari,49.517
902561,A,NaN,0.0,M,chrome,31.807
862011,A,25.746,1.0,F,chrome,48.579
859625,A,28.316,1.0,F,safari,60.917
851421,A,23.264,1.0,F,firefox,36.665
863828,A,24.626,1.0,F,safari,43.204
854240,A,23.912,1.0,M,firefox,39.778
844883,A,NaN,0.0,M,firefox,67.191
836199,A,26.681,1.0,F,safari,53.068
852621,A,26.019,1.0,M,safari,49.890
835381,A,23.075,1.0,F,firefox,35.761
912009,A,26.348,1.0,F,safari,51.471
862800,A,23.314,1.0,F,safari,36.908
871812,A,25.080,1.0,F,safari,45.382
869129,A,NaN,0.0,M,firefox,37.370
844599,A,26.691,1.0,F,firefox,53.117
907252,A,26.441,1.0,M,safari,51.919
888433,A,24.479,1.0,M,safari,42.500
851216,A,25.990,1.0,F,safari,49.752
861917,A,NaN,0.0,M,firefox,31.883
887597,A,NaN,0.0,M,chrome,27.105
884066,A,26.098,1.0,F,chrome,50.273
836894,A,25.417,1.0,F,firefox,47.000
874409,A,26.588,1.0,F,chrome,52.620
880910,A,30.958,1.0,F,safari,73.598
896024,A,27.361,1.0,F,chrome,56.334
874036,A,22.718,1.0,M,firefox,34.046
866138,A,27.793,1.0,M,safari,58.404
862500,A,21.710,1.0,F,firefox,29.209
848769,A,23.846,1.0,F,firefox,39.461
867887,A,NaN,0.0,M,safari,44.181
873995,A,29.283,1.0,F,chrome,65.560
853040,A,23.138,1.0,F,firefox,36.063
844471,A,22.934,1.0,F,safari,35.083
854067,A,NaN,0.0,M,firefox,43.819
882284,A,23.341,1.0,F,firefox,37.038
856436,A,27.817,1.0,M,firefox,58.520
910491,A,22.300,1.0,M,chrome,32.041
837437,A,22.131,1.0,F,safari,31.230
835021,A,23.905,1.0,M,chrome,39.746
889544,A,23.755,1.0,F,safari,39.024
880598,A,29.824,1.0,M,safari,68.154
902471,A,27.374,1.0,M,safari,56.393
909157,A,25.219,1.0,M,safari,46.051
889873,A,21.936,1.0,F,safari,30.295
836948,A,NaN,0.0,M,safari,55.132
835578,A,22.499,1.0,F,safari,32.997
859199,A,21.138,1.0,F,firefox,26.463
889290,A,27.970,1.0,F,chrome,59.256
864952,A,25.792,1.0,M,chrome,48.803
874133,A,27.302,1.0,M,chrome,56.050
866929,A,25.797,1.0,F,chrome,48.825
911085,A,27.142,1.0,M,firefox,55.282
902933,A,23.372,1.0,F,chrome,37.188
907002,A,22.414,1.0,M,firefox,32.589
849195,A,26.704,1.0,F,safari,53.179
860976,A,22.991,1.0,M,firefox,35.359
855648,A,23.276,1.0,F,firefox,36.725
846675,A,NaN,0.0,M,chrome,39.534
899560,A,25.044,1.0,F,chrome,45.210
895985,A,24.115,1.0,F,firefox,40.752
839869,A,21.563,1.0,F,chrome,28.501
896011,A,NaN,0.0,M,chrome,37.277
865206,A,NaN,0.0,M,firefox,18.319
902018,A,26.563,1.0,F,chrome,52.503
840371,A,20.995,1.0,M,safari,25.775
907137,A,22.239,1.0,M,firefox,31.747
878738,A,25.130,1.0,M,firefox,45.626
858624,A,23.151,1.0,M,chrome,36.125
902660,A,28.858,1.0,F,safari,63.516
849659,A,21.768,1.0,F,chrome,29.486
883980,A,NaN,0.0,M,safari,48.205
870478,A,NaN,0.0,M,chrome,44.529
861598,A,22.080,1.0,M,chrome,30.983
870154,A,26.308,1.0,F,safari,51.279
857736,A,24.571,1.0,F,chrome,42.941
898145,A,26.929,1.0,M,chrome,54.261
857242,A,NaN,0.0,M,firefox,54.882
861314,A,NaN,0.0,M,firefox,70.959
888502,A,28.341,1.0,M,safari,61.038
847949,A,24.077,1.0,M,safari,40.570
896936,A,24.402,1.0,F,safari,42.127
882319,A,27.749,1.0,F,chrome,58.196
890776,A,NaN,0.0,M,safari,52.863
876110,A,26.600,1.0,M,safari,52.682
904015,A,20.958,1.0,F,firefox,25.597
870512,A,24.939,1.0,F,firefox,44.708
878530,A,23.155,1.0,M,firefox,36.144
842567,A,25.700,1.0,F,firefox,48.359
907733,A,24.755,1.0,F,firefox,43.822
907829,A,27.275,1.0,M,chrome,55.922
903427,A,25.793,1.0,M,safari,48.807
871003,A,26.966,1.0,M,safari,54.436
910656,A,23.834,1.0,F,chrome,39.403
880112,A,22.639,1.0,M,firefox,33.667
844761,A,23.975,1.0,F,chrome,40.079
858774,A,24.957,1.0,F,chrome,44.796
897011,A,25.948,1.0,M,safari,49.550
876021,A,30.648,1.0,M,firefox,72.112
896153,A,NaN,0.0,M,chrome,44.493
858617,A,22.610,1.0,M,safari,33.529
840591,A,24.135,1.0,M,safari,40.848
839304,A,23.841,1.0,F,safari,39.437
843928,A,26.204,1.0,F,firefox,50.778
846456,A,21.148,1.0,F,firefox,26.510
910275,A,25.158,1.0,F,firefox,45.759
911039,A,NaN,0.0,M,firefox,46.878
851440,A,25.580,1.0,F,chrome,47.786
853894,A,NaN,0.0,M,chrome,37.832
848477,A,24.405,1.0,M,firefox,42.145
861938,A,21.440,1.0,M,chrome,27.911
861010,A,23.767,1.0,M,firefox,39.080
902214,A,23.643,1.0,M,firefox,38.486
894816,A,26.040,1.0,F,chrome,49.993
836911,A,22.110,1.0,F,firefox,31.126
873614,A,26.953,1.0,M,chrome,54.374
843697,A,28.736,1.0,F,firefox,62.934
908043,A,19.825,1.0,F,chrome,20.160
844426,A,26.066,1.0,M,firefox,50.115
899393,A,26.692,1.0,F,firefox,53.123
841062,A,NaN,0.0,M,chrome,37.351
860503,A,NaN,0.0,M,firefox,40.233
876908,A,NaN,0.0,M,firefox,43.405
912309,A,24.256,1.0,F,firefox,41.427
840998,A,24.227,1.0,F,firefox,41.292
896215,A,NaN,0.0,M,firefox,24.888
869643,A,27.881,1.0,F,firefox,58.828
871997,A,NaN,0.0,M,chrome,57.955
878516,A,NaN,0.0,M,chrome,35.240
895903,A,NaN,0.0,M,firefox,27.403
865957,A,26.303,1.0,F,firefox,51.253
860146,A,23.561,1.0,F,safari,38.091
854753,A,NaN,0.0,M,chrome,46.703
889116,A,24.202,1.0,F,chrome,41.168
902162,A,26.729,1.0,F,safari,53.298
846118,A,26.737,1.0,M,firefox,53.337
905415,A,NaN,0.0,M,safari,36.293
893644,A,21.542,1.0,M,chrome,28.400
846425,A,21.043,1.0,M,safari,26.005
839854,A,26.526,1.0,F,firefox,52.325
851185,A,22.028,1.0,M,chrome,30.734
886491,A,NaN,0.0,M,firefox,38.918
877556,A,23.509,1.0,F,chrome,37.844
890813,A,24.869,1.0,M,chrome,44.369
884869,A,NaN,0.0,M,chrome,21.765
902786,A,25.472,1.0,M,safari,47.265
904679,A,26.310,1.0,M,chrome,51.287
901250,A,25.221,1.0,M,safari,46.061
881826,A,24.223,1.0,F,chrome,41.269
846998,A,25.244,1.0,F,safari,46.169
849332,A,25.998,1.0,M,firefox,49.789
841249,A,18.069,1.0,M,safari,11.729
836500,A,NaN,0.0,M,chrome,68.471
904271,A,NaN,0.0,M,firefox,49.681
880414,A,23.369,1.0,M,safari,37.171
855107,A,24.023,1.0,M,safari,40.309
841851,A,26.234,1.0,M,firefox,50.925
867056,A,24.710,1.0,M,safari,43.607
846285,A,19.923,1.0,M,firefox,20.632
885755,A,30.161,1.0,M,safari,69.774
836077,A,NaN,0.0,M,safari,43.674
877240,A,27.550,1.0,F,firefox,57.242
893076,A,23.270,1.0,F,chrome,36.695
883026,A,28.841,1.0,F,safari,63.437
873861,A,25.716,1.0,M,chrome,48.436
850722,A,26.522,1.0,F,chrome,52.306
854629,A,22.387,1.0,F,firefox,32.457
898272,A,28.028,1.0,M,chrome,59.534
862413,A,26.725,1.0,F,firefox,53.278
873083,A,28.255,1.0,M,firefox,60.622
914052,A,23.430,1.0,F,chrome,37.463
887636,A,23.797,1.0,F,chrome,39.228
870879,A,NaN,0.0,M,firefox,72.647
885950,A,22.350,1.0,F,firefox,32.280
890493,A,24.660,1.0,F,chrome,43.369
850123,A,27.842,1.0,M,safari,58.643
875418,A,25.244,1.0,M,chrome,46.173
890322,A,26.457,1.0,F,firefox,51.995
898423,A,24.001,1.0,M,firefox,40.207
866406,A,25.925,1.0,F,chrome,49.441
851232,A,21.734,1.0,F,safari,29.322
886651,A,29.145,1.0,M,chrome,64.898
876968,A,24.705,1.0,M,chrome,43.582
877973,A,23.300,1.0,M,safari,36.838
891507,A,26.666,1.0,M,safari,52.997
887864,A,NaN,0.0,M,chrome,39.471
855359,A,21.664,1.0,M,safari,28.989
878177,A,21.633,1.0,F,chrome,28.839
865723,A,26.734,1.0,M,chrome,53.325
839837,A,24.601,1.0,F,chrome,43.085
893877,A,24.666,1.0,F,firefox,43.396
867053,A,27.694,1.0,F,chrome,57.933
